Country/Region,Date,Cases
Mainland China,1/22/20,1
Mainland China,1/22/20,14
Mainland China,1/22/20,6
Mainland China,1/22/20,1
Mainland China,1/22/20,0
Mainland China,1/22/20,26
Mainland China,1/22/20,2
Mainland China,1/22/20,1
Mainland China,1/22/20,4
Mainland China,1/22/20,1
Mainland China,1/22/20,0
Mainland China,1/22/20,5
Mainland China,1/22/20,444
Mainland China,1/22/20,4
Mainland China,1/22/20,0
Mainland China,1/22/20,1
Mainland China,1/22/20,2
Mainland China,1/22/20,0
Mainland China,1/22/20,2
Mainland China,1/22/20,1
Mainland China,1/22/20,0
Mainland China,1/22/20,0
Mainland China,1/22/20,2
Mainland China,1/22/20,9
Mainland China,1/22/20,1
Mainland China,1/22/20,5
Mainland China,1/22/20,4
Mainland China,1/22/20,0
Mainland China,1/22/20,0
Mainland China,1/22/20,1
Mainland China,1/22/20,10
Thailand,1/22/20,2
Japan,1/22/20,2
South Korea,1/22/20,1
Taiwan,1/22/20,1
US,1/22/20,1
US,1/22/20,0
US,1/22/20,0
Macau,1/22/20,1
Hong Kong,1/22/20,0
Singapore,1/22/20,0
Vietnam,1/22/20,0
France,1/22/20,0
Nepal,1/22/20,0
Malaysia,1/22/20,0
Canada,1/22/20,0
Canada,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Australia,1/22/20,0
Cambodia,1/22/20,0
Sri Lanka,1/22/20,0
Germany,1/22/20,0
Finland,1/22/20,0
United Arab Emirates,1/22/20,0
Philippines,1/22/20,0
India,1/22/20,0
Canada,1/22/20,0
Italy,1/22/20,0
UK,1/22/20,0
Russia,1/22/20,0
Sweden,1/22/20,0
US,1/22/20,0
Spain,1/22/20,0
Australia,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Belgium,1/22/20,0
US,1/22/20,0
Others,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Egypt,1/22/20,0
Iran,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Australia,1/22/20,0
US,1/22/20,0
Lebanon,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Iraq,1/22/20,0
US,1/22/20,0
Oman,1/22/20,0
Afghanistan,1/22/20,0
Bahrain,1/22/20,0
Kuwait,1/22/20,0
Algeria,1/22/20,0
Croatia,1/22/20,0
Switzerland,1/22/20,0
Austria,1/22/20,0
Israel,1/22/20,0
Pakistan,1/22/20,0
Brazil,1/22/20,0
Georgia,1/22/20,0
Greece,1/22/20,0
North Macedonia,1/22/20,0
Norway,1/22/20,0
Romania,1/22/20,0
Denmark,1/22/20,0
Estonia,1/22/20,0
Netherlands,1/22/20,0
San Marino,1/22/20,0
Belarus,1/22/20,0
Canada,1/22/20,0
Iceland,1/22/20,0
Lithuania,1/22/20,0
Mexico,1/22/20,0
New Zealand,1/22/20,0
Nigeria,1/22/20,0
Australia,1/22/20,0
Ireland,1/22/20,0
Luxembourg,1/22/20,0
Monaco,1/22/20,0
Qatar,1/22/20,0
US,1/22/20,0
Ecuador,1/22/20,0
Azerbaijan,1/22/20,0
Czech Republic,1/22/20,0
Armenia,1/22/20,0
Dominican Republic,1/22/20,0
US,1/22/20,0
Indonesia,1/22/20,0
Portugal,1/22/20,0
Andorra,1/22/20,0
Australia,1/22/20,0
Latvia,1/22/20,0
Morocco,1/22/20,0
Saudi Arabia,1/22/20,0
Senegal,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Argentina,1/22/20,0
Chile,1/22/20,0
Jordan,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
US,1/22/20,0
Ukraine,1/22/20,0
Mainland China,1/23/20,9
Mainland China,1/23/20,22
Mainland China,1/23/20,9
Mainland China,1/23/20,5
Mainland China,1/23/20,2
Mainland China,1/23/20,32
Mainland China,1/23/20,5
Mainland China,1/23/20,3
Mainland China,1/23/20,5
Mainland China,1/23/20,1
Mainland China,1/23/20,2
Mainland China,1/23/20,5
Mainland China,1/23/20,444
Mainland China,1/23/20,9
Mainland China,1/23/20,0
Mainland China,1/23/20,5
Mainland China,1/23/20,7
Mainland China,1/23/20,1
Mainland China,1/23/20,3
Mainland China,1/23/20,1
Mainland China,1/23/20,0
Mainland China,1/23/20,3
Mainland China,1/23/20,6
Mainland China,1/23/20,16
Mainland China,1/23/20,1
Mainland China,1/23/20,8
Mainland China,1/23/20,4
Mainland China,1/23/20,0
Mainland China,1/23/20,2
Mainland China,1/23/20,2
Mainland China,1/23/20,27
Thailand,1/23/20,3
Japan,1/23/20,1
South Korea,1/23/20,1
Taiwan,1/23/20,1
US,1/23/20,1
US,1/23/20,0
US,1/23/20,0
Macau,1/23/20,2
Hong Kong,1/23/20,2
Singapore,1/23/20,1
Vietnam,1/23/20,2
France,1/23/20,0
Nepal,1/23/20,0
Malaysia,1/23/20,0
Canada,1/23/20,0
Canada,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Australia,1/23/20,0
Australia,1/23/20,0
Australia,1/23/20,0
Cambodia,1/23/20,0
Sri Lanka,1/23/20,0
Germany,1/23/20,0
Finland,1/23/20,0
United Arab Emirates,1/23/20,0
Philippines,1/23/20,0
India,1/23/20,0
Canada,1/23/20,0
Italy,1/23/20,0
UK,1/23/20,0
Russia,1/23/20,0
Sweden,1/23/20,0
US,1/23/20,0
Spain,1/23/20,0
Australia,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Belgium,1/23/20,0
US,1/23/20,0
Others,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Egypt,1/23/20,0
Iran,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Australia,1/23/20,0
US,1/23/20,0
Lebanon,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Iraq,1/23/20,0
US,1/23/20,0
Oman,1/23/20,0
Afghanistan,1/23/20,0
Bahrain,1/23/20,0
Kuwait,1/23/20,0
Algeria,1/23/20,0
Croatia,1/23/20,0
Switzerland,1/23/20,0
Austria,1/23/20,0
Israel,1/23/20,0
Pakistan,1/23/20,0
Brazil,1/23/20,0
Georgia,1/23/20,0
Greece,1/23/20,0
North Macedonia,1/23/20,0
Norway,1/23/20,0
Romania,1/23/20,0
Denmark,1/23/20,0
Estonia,1/23/20,0
Netherlands,1/23/20,0
San Marino,1/23/20,0
Belarus,1/23/20,0
Canada,1/23/20,0
Iceland,1/23/20,0
Lithuania,1/23/20,0
Mexico,1/23/20,0
New Zealand,1/23/20,0
Nigeria,1/23/20,0
Australia,1/23/20,0
Ireland,1/23/20,0
Luxembourg,1/23/20,0
Monaco,1/23/20,0
Qatar,1/23/20,0
US,1/23/20,0
Ecuador,1/23/20,0
Azerbaijan,1/23/20,0
Czech Republic,1/23/20,0
Armenia,1/23/20,0
Dominican Republic,1/23/20,0
US,1/23/20,0
Indonesia,1/23/20,0
Portugal,1/23/20,0
Andorra,1/23/20,0
Australia,1/23/20,0
Latvia,1/23/20,0
Morocco,1/23/20,0
Saudi Arabia,1/23/20,0
Senegal,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Argentina,1/23/20,0
Chile,1/23/20,0
Jordan,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
US,1/23/20,0
Ukraine,1/23/20,0
Mainland China,1/24/20,15
Mainland China,1/24/20,36
Mainland China,1/24/20,27
Mainland China,1/24/20,10
Mainland China,1/24/20,2
Mainland China,1/24/20,53
Mainland China,1/24/20,23
Mainland China,1/24/20,3
Mainland China,1/24/20,8
Mainland China,1/24/20,2
Mainland China,1/24/20,4
Mainland China,1/24/20,9
Mainland China,1/24/20,549
Mainland China,1/24/20,24
Mainland China,1/24/20,1
Mainland China,1/24/20,9
Mainland China,1/24/20,18
Mainland China,1/24/20,3
Mainland China,1/24/20,4
Mainland China,1/24/20,2
Mainland China,1/24/20,0
Mainland China,1/24/20,5
Mainland China,1/24/20,15
Mainland China,1/24/20,20
Mainland China,1/24/20,1
Mainland China,1/24/20,15
Mainland China,1/24/20,8
Mainland China,1/24/20,0
Mainland China,1/24/20,2
Mainland China,1/24/20,5
Mainland China,1/24/20,43
Thailand,1/24/20,5
Japan,1/24/20,2
South Korea,1/24/20,2
Taiwan,1/24/20,3
US,1/24/20,1
US,1/24/20,1
US,1/24/20,0
Macau,1/24/20,2
Hong Kong,1/24/20,2
Singapore,1/24/20,3
Vietnam,1/24/20,2
France,1/24/20,2
Nepal,1/24/20,0
Malaysia,1/24/20,0
Canada,1/24/20,0
Canada,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Australia,1/24/20,0
Australia,1/24/20,0
Australia,1/24/20,0
Cambodia,1/24/20,0
Sri Lanka,1/24/20,0
Germany,1/24/20,0
Finland,1/24/20,0
United Arab Emirates,1/24/20,0
Philippines,1/24/20,0
India,1/24/20,0
Canada,1/24/20,0
Italy,1/24/20,0
UK,1/24/20,0
Russia,1/24/20,0
Sweden,1/24/20,0
US,1/24/20,0
Spain,1/24/20,0
Australia,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Belgium,1/24/20,0
US,1/24/20,0
Others,1/24/20,0
US,1/24/20,0
US,1/24/20,0
Egypt,1/24/20,0
Iran,1/24/20,0
US,1/24/20,0
